Sableye,Prankster,Keen Eye,Stall
Chesnaught,Bulletproof,Overgrow
Shedinja,Wonder Guard
Drapion,Sniper
Gliscor,Poison Heal
Krookodile,Intimidate,Moxie,Anger Point
Swanna,Hydration
Heatran,Flash Fire
Sharpedo,Rough Skin,Speed Boost,Strong Jaw
Shaymin,Serene Grace
Octillery,Suction Cups,Sniper,Moody
Porygon2,Intimidate (base: Trace),Trace
Metagross,Clear Body,Light Metal
Stoutland,Intimidate
Zebstrika,Sap Sipper
Castform,Forecast
Stakataka,Beast Boost
Ledian,Swarm
Serperior,Contrary
Chandelure,Flash Fire,Flame Body,Infiltrator
Aerodactyl,Unnerve
Camerupt,Solid Rock
Nidoqueen,Sheer Force
Pelipper,Drizzle
Medicham,Pure Power,Telepathy
Huntail,Water Veil
Florges,Symbiosis
Seismitoad,Water Absorb,Swift Swim,Poison Touch
Oricorio,Dancer
Furret,Frisk
Trevenant,Natural Cure
Beautifly,Swarm
Tauros,Intimidate
Skarmory,Sturdy
Solrock,Levitate
Tsareena,Queenly Majesty
Staraptor,Intimidate,Reckless
Delphox,Blaze
Snorlax,Thick Fat
Decidueye,Overgrow
Diancie,Clear Body,Magic Bounce
Phione,Hydration
Omastar,Shell Armor
Noctowl,Tinted Lens
Emolga,Static,Motor Drive
Bronzong,Levitate
Exploud,Scrappy
Granbull,Intimidate
Garchomp,Sand Veil,Rough Skin
Magnezone,Magnet Pull
Kyurem,Turboblaze
Yanmega,Speed Boost,Tinted Lens,Frisk
Ampharos,Static
Durant,Hustle
Steelix,Sturdy
Turtonator,Shell Armor
Hippowdon,Sand Stream
