Hidden Power Electric,Electric,Special,60.0
Secret Sword,Fighting,Special,85.0
Pin Missile,Bug,Physical,25.0
Reversal,Fighting,Physical,20.0
Focus Punch,Fighting,Physical,150.0,Priority -3
Devastating Drake,Dragon,Physical,190.0
Iron Tail,Steel,Physical,100.0,Opp Def -1 Chance
Coil,Poison,Status,0.0,User Atk 1,User Def 1
Stomping Tantrum,Ground,Physical,75.0
Shadow Claw,Ghost,Physical,70.0,Crit Chance
Techno Blast,Water,Special,120.0
Subzero Slammer,Ice,Special,185.0
Crabhammer,Water,Physical,100.0,Crit Chance
Fire Fang,Fire,Physical,65.0,Opp BRN Chance,Flinch Chance
Gigavolt Havoc,Electric,Special,175.0
Nature's Madness,Fairy,Special,0.0
Overheat,Fire,Special,130.0,User SpA -2
Petal Dance,Grass,Special,120.0,User Confused,MoveLck
Breakneck Blitz,Normal,Physical,160.0
Z-Encore,Normal,Status,0.0,User Spe 1
Blue Flare,Fire,Special,130.0,Opp BRN Chance
Icy Wind,Ice,Special,55.0,Opp Spe -1
Endeavor,Normal,Physical,0.0,Endeavor
Copycat,Normal,Status,0.0,Copycat
Let's Snuggle Forever,Fairy,Physical,190.0
Horn Leech,Grass,Physical,75.0,DmgHeal 50
Shattered Psyche,Psychic,Special,180.0
Z-Calm Mind,Psychic,Status,0.0,User SpA 1,User SpD 1,StatsClr User
Photon Geyser,Psychic,Special,100.0
Continental Crush,Rock,Physical,180.0
Glare,Normal,Status,0.0,Opp PAR
Trick Room,Psychic,Status,0.0,TrickRoom
Gyro Ball,Steel,Physical,139.0
Fusion Bolt,Electric,Physical,100.0
Inferno Overdrive,Fire,Special,185.0
Splintered Stormshards,Rock,Physical,190.0,TerrainClear
Accelerock,Rock,Physical,40.0,Priority 1
Diamond Storm,Rock,Physical,100.0,User Def 2 Chance
Z-Tailwind,Flying,Status,0.0,tailwind
Supersonic Skystrike,Flying,Special,185.0
Z-Defog,Flying,Status,0.0
Dragon Pulse,Dragon,Special,85.0
Draining Kiss,Fairy,Special,50.0,DmgHeal 75
Dragon Tail,Dragon,Physical,60.0,Opp Switch
Anchor Shot,Steel,Physical,80.0
Judgment,Dark,Special,100.0
Z-Dragon Dance,Dragon,Status,0.0,User Atk 1,User Spe 1,StatsClr User
V-create,Fire,Physical,180.0,User Def -1,User SpD -1,User Spe -1
Dragon Ascent,Flying,Physical,120.0,User Def -1,User SpD -1
Sinister Arrow Raid,Ghost,Physical,180.0
Zing Zap,Electric,Physical,80.0,Flinch Chance
Chatter,Flying,Special,65.0,Opp Confused Chance
Shadow Bone,Ghost,Physical,85.0,Opp Def -1 Chance
Bonemerang,Ground,Physical,50.0
Light That Burns the Sky,Psychic,Special,200.0
Hex,Ghost,Special,65.0
Memento,Dark,Status,0.0,User Heal -100,Opp Atk -2,Opp SpA -2
Psystrike,Psychic,Special,100.0
Mirror Coat,Psychic,Special,0.0,Counter Special
Counter,Fighting,Physical,0.0,Counter Physical
Throat Chop,Dark,Physical,80.0
Water Shuriken,Water,Special,15.0,Priority 1
Multi-Attack,Electric,Physical,90.0
Parting Shot,Dark,Status,0.0,Opp Atk -1,Opp SpA -1,User Switch
Fiery Dance,Fire,Special,80.0,USer SpA 1 Chance
Autotomize,Steel,Status,0.0,User Spe 2
Switcheroo,Dark,Status,0.0,Trick
Z-Hold Hands,Normal,Status,0.0,User Atk 1,User Def 1,User SpA 1,User SpD 1,User Spe 1
Hold Hands,Normal,Status,0.0
Z-Roost,Flying,Status,0.0,User Heal 50,StatsClr User
Beak Blast,Flying,Physical,100.0,Priority -3,Opp BRN Chance
Brick Break,Fighting,Physical,75.0,ScreenClr
Bug Bite,Bug,Physical,60.0
Z-Hail,Ice,Status,0.0,hail,User Spe 1
Hail,Ice,Status,0.0,hail
Savage Spin-Out,Bug,Special,175.0
Z-Quiver Dance,Bug,Status,0.0,User SpA 1,User SpD 1,User Spe 1,StatsClr User
King's Shield,Steel,Status,0.0,Protect,Opp Atk -2 Chance
Relic Song,Normal,Special,75.0,Opp SLP Chance
Plasma Fists,Electric,Physical,100.0
Psychic Fangs,Psychic,Physical,85.0,ScreenClr
Baneful Bunker,Poison,Status,0.0,Protect,Opp PSN Chance
Fly,Flying,Physical,90.0,Charge
Giga Impact,Normal,Physical,150.0,Recharge
Retaliate,Normal,Physical,70.0
Night Slash,Dark,Physical,70.0,Crit Chance
Hydro Vortex,Water,Special,185.0
Bloom Doom,Grass,Physical,190.0
Z-Sleep Powder,Grass,Status,0.0,Opp SLP,User Spe 1
Jump Kick,Fighting,Physical,100.0,User Heal -50 Chance
Menacing Moonraze Maelstrom,Ghost,Special,200.0
First Impression,Bug,Physical,90.0
Magma Storm,Fire,Special,100.0
Z-Happy Hour,Normal,Status,0.0,User Atk 1,User Def 1,User SpA 1,User SpD 1,User Spe 1
Psycho Cut,Psychic,Physical,70.0,Crit Chance
Happy Hour,Normal,Status,0.0
Hyperspace Fury,Dark,Physical,100.0,User Def -1
Never-Ending Nightmare,Ghost,Special,160.0
Stoked Sparksurfer,Electric,Special,175.0,Opp PAR
Aeroblast,Flying,Special,100.0,Crit Chance
High Horsepower,Ground,Physical,95.0
Revelation Dance,Ghost,Special,90.0
Lunge,Bug,Physical,80.0,Opp Atk -1
Icicle Spear,Ice,Physical,25.0
Vacuum Wave,Fighting,Special,40.0,Priority 1
Extrasensory,Psychic,Special,80.0,Flinch Chance
Darkest Lariat,Dark,Physical,85.0
Hidden Power Flying,Flying,Special,60.0
Aurora Veil,Ice,Status,0.0,field_auroraveil
Sky Attack,Flying,Physical,140.0,Charge,Flinch Chance,Crit Chance
Tectonic Rage,Ground,Physical,160.0
Dig,Ground,Physical,80.0,Charge
Bite,Dark,Physical,60.0,Flinch Chance
Water Spout,Water,Special,140.0
Cross Chop,Fighting,Physical,100.0,Crit Chance
Black Hole Eclipse,Dark,Special,160.0
Z-Nasty Plot,Dark,Status,0.0,User SpA 2,StatsClr User
Struggle,Normal,Physical,50.0,User Heal -25
Hidden Power Fighting,Fighting,Special,60.0
Work Up,Normal,Status,0.0,User Atk 1,User SpA 1
Spectral Thief,Ghost,Physical,90.0,StatSteal
Z-Sunny Day,Fire,Status,0.0,sunnyday,User Spe 1
Shadow Punch,Ghost,Physical,60.0
Dynamic Punch,Fighting,Physical,100.0,Opp Confused
Soak,Water,Status,0.0,TypeChange Opp Water
Block,Normal,Status,0.0
Clangorous Soulblaze,Dragon,Special,185.0,User Atk 1,User Def 1,User SpA 1,User SpD 1,User Spe 1
Clanging Scales,Dragon,Special,110.0,User Def -1
Cotton Guard,Grass,Status,0.0,User Def 3
Light of Ruin,Fairy,Special,140.0,Recoil 50
Headbutt,Normal,Physical,70.0,Flinch Chance
Fusion Flare,Fire,Special,100.0
Oblivion Wing,Flying,Special,80.0,DmgHeal 75
Ice Hammer,Ice,Physical,100.0,User Spe -1
Precipice Blades,Ground,Physical,120.0
Volt Tackle,Electric,Physical,120.0,Recoil 33,Opp PAR Chance
Weather Ball,Normal,Special,50.0
All-Out Pummeling,Fighting,Special,190.0
Disable,Normal,Status,0.0,Disable
Healing Wish,Psychic,Status,0.0,User Heal -100,Switch Heal 100,Cure Switch
Avalanche,Ice,Physical,60.0,Priority -1
Head Charge,Normal,Physical,120.0,Recoil 25
Z-Rain Dance,Water,Status,0.0,raindance,User Spe 1
Stored Power,Psychic,Special,20.0
Metal Burst,Steel,Physical,0.0
Spacial Rend,Dragon,Special,100.0
Z-Electric Terrain,Electric,Status,0.0,electricterrain,User Spe 1
Electric Terrain,Electric,Status,0.0,electricterrain
Searing Sunraze Smash,Steel,Physical,200.0
Origin Pulse,Water,Special,110.0
Recharge,???,Physical,0.0
Thunder Punch,Electric,Physical,75.0,Opp PAR Chance
Hidden Power Dark,Dark,Special,60.0
Shadow Force,Ghost,Physical,120.0,Charge
Soul-Stealing 7-Star Strike,Ghost,Physical,195.0
Corkscrew Crash,Steel,Physical,160.0
Pluck,Flying,Physical,60.0
Bounce,Flying,Physical,85.0,Charge
Perish Song,Normal,Status,0.0,PerishSong
Z-Belly Drum,Normal,Status,0.0,User Atk 6,User Heal 100,User Heal -50
Grass Pledge,Grass,Special,80.0
Super Fang,Normal,Physical,0.0,Opp Heal -50
Lovely Kiss,Normal,Status,0.0,Opp Confused
Hidden Power,???,Special,60.0
Transform,Normal,Status,0.0,Transform
Acid Downpour,Poison,Special,175.0
Z-Strength Sap,Grass,Status,0.0
